id,energy,valence,danceability,acousticness
0,0.461,0.715,0.676,0.0322
1,0.166,0.267,0.42,0.924
2,0.359,0.12,0.438,0.21
3,0.0596,0.143,0.266,0.905
4,0.443,0.167,0.618,0.469
5,0.481,0.666,0.688,0.289
6,0.147,0.0765,0.407,0.857
7,0.444,0.712,0.703,0.559
8,0.414,0.669,0.625,0.294
9,0.632,0.196,0.442,0.426
10,0.363,0.301,0.627,0.279
11,0.303,0.139,0.483,0.694
12,0.314,0.607,0.489,0.749
13,0.234,0.209,0.691,0.777
14,0.78,0.387,0.755,0.124
15,0.561,0.238,0.489,0.2
16,0.112,0.414,0.706,0.827
17,0.0841,0.609,0.795,0.742
18,0.32,0.322,0.717,0.83
19,0.351,0.569,0.678,0.747
20,0.454,0.515,0.572,0.477
21,0.667,0.754,0.796,0.381
22,0.454,0.33,0.755,0.757
23,0.309,0.664,0.62,0.788
24,0.429,0.52,0.633,0.0444
25,0.455,0.564,0.593,0.366
26,0.206,0.202,0.296,0.782
27,0.153,0.18,0.409,0.939
28,0.0952,0.316,0.501,0.963
29,0.326,0.414,0.606,0.841
30,0.519,0.326,0.474,0.281
31,0.301,0.142,0.568,0.796
32,0.686,0.725,0.568,0.15
33,0.666,0.498,0.476,0.314
34,0.2,0.308,0.596,0.91
35,0.914,0.56,0.373,0.076
36,0.652,0.298,0.494,0.0754
37,0.393,0.564,0.447,0.785
38,0.331,0.407,0.576,0.894
39,0.89,0.273,0.536,0.078
40,0.333,0.159,0.526,0.91
41,0.381,0.502,0.501,0.687
42,0.275,0.231,0.27,0.834
43,0.507,0.265,0.731,0.572
44,0.457,0.415,0.375,0.868
45,0.791,0.217,0.43,0.0726
46,0.282,0.435,0.616,0.983
47,0.347,0.36,0.705,0.674
48,0.255,0.285,0.582,0.772
49,0.274,0.207,0.549,0.798
50,0.355,0.48,0.787,0.896
51,0.303,0.172,0.397,0.381
52,0.42,0.196,0.548,0.198
53,0.403,0.264,0.787,0.603
54,0.573,0.346,0.484,0.0882
55,0.416,0.125,0.382,0.0733
56,0.575,0.428,0.541,0.677
57,0.473,0.54,0.607,0.712
58,0.595,0.117,0.417,0.158
59,0.913,0.519,0.709,0.0182
60,0.342,0.253,0.537,0.645
61,0.336,0.335,0.602,0.883
62,0.638,0.6,0.643,0.204
63,0.7,0.37,0.451,0.455
64,0.391,0.202,0.546,0.784
65,0.327,0.298,0.561,0.902
66,0.541,0.3,0.479,0.74
67,0.4,0.351,0.436,0.904
68,0.836,0.758,0.551,0.00502
69,0.845,0.392,0.6,0.048
70,0.145,0.218,0.492,0.872
71,0.555,0.33,0.447,0.218
72,0.937,0.805,0.661,0.322
73,0.78,0.693,0.603,0.139
74,0.655,0.542,0.626,0.503
75,0.38,0.617,0.794,0.762
76,0.279,0.0951,0.52,0.894
77,0.658,0.683,0.545,0.496
78,0.266,0.307,0.728,0.872
79,0.407,0.257,0.66,0.236
80,0.161,0.325,0.357,0.971
81,0.154,0.36,0.479,0.915
82,0.769,0.385,0.592,0.319
83,0.454,0.34,0.7,0.55
84,0.197,0.148,0.402,0.858
85,0.378,0.085,0.507,0.852
86,0.226,0.188,0.619,0.959
87,0.571,0.29,0.404,0.182
88,0.79,0.197,0.418,0.0284
89,0.299,0.341,0.633,0.833
90,0.0392,0.601,0.565,0.835
91,0.0755,0.575,0.664,0.91
92,0.303,0.142,0.585,0.694
93,0.271,0.21,0.65,0.794
94,0.213,0.0998,0.534,0.884
95,0.386,0.612,0.456,0.835
96,0.234,0.145,0.409,0.338
97,0.53,0.102,0.502,0.805
98,0.117,0.318,0.496,0.933
99,0.724,0.333,0.585,0.315
100,0.253,0.294,0.582,0.827
101,0.14,0.392,0.637,0.903
102,0.623,0.617,0.672,0.241
103,0.272,0.113,0.422,0.496
104,0.801,0.431,0.47,0.0758
105,0.864,0.534,0.564,0.0761
106,0.495,0.116,0.521,0.128
107,0.81,0.79,0.616,0.369
108,0.812,0.74,0.615,0.184
109,0.305,0.0974,0.478,0.675
110,0.541,0.321,0.479,0.737
111,0.767,0.664,0.587,0.225
112,0.569,0.264,0.514,0.601
113,0.836,0.727,0.646,0.301
114,0.711,0.648,0.57,0.119
115,0.199,0.262,0.678,0.957
116,0.867,0.795,0.589,0.041
117,0.926,0.548,0.626,0.0265
118,0.556,0.36,0.686,0.532
119,0.832,0.802,0.56,0.108
120,0.793,0.892,0.619,0.263
121,0.278,0.594,0.56,0.733
122,0.805,0.359,0.595,0.0167
123,0.827,0.645,0.438,0.0512
124,0.375,0.106,0.582,0.702
125,0.295,0.14,0.453,0.518
126,0.625,0.342,0.636,0.222
127,0.201,0.4,0.639,0.907
128,0.423,0.59,0.69,0.883
129,0.349,0.444,0.599,0.819
130,0.264,0.192,0.519,0.918
131,0.569,0.275,0.643,0.544
132,0.624,0.529,0.573,0.471
133,0.821,0.613,0.654,0.00666
134,0.399,0.217,0.426,0.761
135,0.21,0.323,0.505,0.907
136,0.43,0.731,0.693,0.565
137,0.287,0.557,0.739,0.969
138,0.146,0.0915,0.453,0.867
139,0.54,0.249,0.606,0.182
140,0.646,0.563,0.595,0.11
141,0.145,0.235,0.736,0.855
142,0.126,0.279,0.479,0.966
143,0.786,0.573,0.583,0.0208
144,0.291,0.376,0.549,0.858
145,0.489,0.398,0.418,0.287
146,0.12,0.338,0.498,0.851
147,0.135,0.471,0.769,0.986
148,0.469,0.0568,0.434,0.52
149,0.198,0.217,0.452,0.931
150,0.5,0.177,0.544,0.0325
151,0.187,0.233,0.662,0.969
152,0.13,0.179,0.497,0.841
153,0.291,0.355,0.528,0.914
