algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,20,0,0.9899209537932833,0.9165357746962506,1.0628732871564606
lightweight,2,0.0025,20,1,0.8025285005770618,0.5758790777684204,1.0918418270346446
lightweight,2,0.0025,20,2,0.9467531989287498,0.8050325890149609,1.0469102988315009
lightweight,2,0.0025,20,3,0.9877035158385433,0.6606323055473293,1.205071954012832
lightweight,2,0.0025,20,4,1.162255723861797,0.7384855386885301,1.154467585065853
random,2,0.0025,20,0,0.4829081561769766,0.34747487606899424,1.079574731372085
random,2,0.0025,20,1,0.7394619084094944,0.6751297892339995,1.0385351864979573
random,2,0.0025,20,2,1.55663877263732,0.8841583434442823,1.163001811512583
random,2,0.0025,20,3,0.8200507415976807,0.5131503929422284,1.212071228615144
random,2,0.0025,20,4,1.0082309342876872,0.6918054472492731,1.1778869699253334
lightweight,2,0.005,40,0,1.0441823518063038,0.9369979010959003,1.0529635371797774
lightweight,2,0.005,40,1,0.9512261137913818,0.8248863114842853,1.080671046261991
lightweight,2,0.005,40,2,0.952651718778495,0.7205976356706936,1.158814570490642
lightweight,2,0.005,40,3,0.9585627551590903,0.9357627208347603,1.0102971079466436
lightweight,2,0.005,40,4,0.9735248094204307,0.8778229637586196,1.067393755057622
random,2,0.005,40,0,0.5777206434857641,0.4433539849666261,1.0754000783593665
random,2,0.005,40,1,0.6715153069453579,0.5383046244038003,1.0910619211589334
random,2,0.005,40,2,1.5109336264267152,0.9098917682187411,1.1694077110558943
random,2,0.005,40,3,1.2965001557186642,0.9432278300223675,1.1789701208549275
random,2,0.005,40,4,0.8688828057996357,0.7954573622173922,1.0446886756704343
lightweight,2,0.01,80,0,0.971942220880575,0.9579826149627206,1.0059334257580343
lightweight,2,0.01,80,1,0.875377334693424,0.8594594736901211,1.0077848178085087
lightweight,2,0.01,80,2,1.0229122690488808,0.8545193228219897,1.131730432559926
lightweight,2,0.01,80,3,1.0233309876754897,0.8553301889469298,1.132987157936077
lightweight,2,0.01,80,4,0.9247286872168847,0.8880992375300941,1.0178947016305573
random,2,0.01,80,0,0.7722271403322648,0.7420062143909447,1.0158020697089714
random,2,0.01,80,1,0.8414343139124021,0.79828853638714,1.022096485528984
random,2,0.01,80,2,1.2285783749863346,0.9545009522040273,1.14115458587495
random,2,0.01,80,3,1.2300564166772374,1.0392504834936505,1.1497868745605992
random,2,0.01,80,4,0.8783135189242459,0.8200680462915926,1.0324432640038383
lightweight,2,0.05,402,0,1.0032512263010127,0.9996997230510082,1.0016144862834935
lightweight,2,0.05,402,1,0.982712221074064,0.9744801880100182,1.004952639843671
lightweight,2,0.05,402,2,1.0199721415474592,1.0179573884838555,1.0009228635124117
lightweight,2,0.05,402,3,0.9919947860935813,0.9839236467430188,1.0041329835030983
lightweight,2,0.05,402,4,1.006176824798934,0.9960605904743668,1.0052077873641596
random,2,0.05,402,0,0.990684690929932,0.9806489703708057,1.0062509693381696
random,2,0.05,402,1,1.0223354964145641,1.0171544733611784,1.0025650503355203
random,2,0.05,402,2,1.148458470741492,1.1407110311236188,1.0035358320646117
random,2,0.05,402,3,0.7895627995006855,0.7802715782692051,1.0047162428899639
random,2,0.05,402,4,1.011683032665751,1.0044443227750617,1.0032485297388165
lightweight,2,0.1,804,0,0.9908496927631809,0.9889326194497596,1.0009065091312526
lightweight,2,0.1,804,1,1.0032779799446623,0.9991425774377024,1.0023602942893484
lightweight,2,0.1,804,2,1.0054860539622439,1.0034711747802205,1.001082869633776
lightweight,2,0.1,804,3,0.991514351105714,0.9866013442929756,1.0022716552930933
lightweight,2,0.1,804,4,0.9757173837968485,0.9737805922247675,1.0009327755541277
