algo,k,frac,m,seed,center_idx,R,G,B
full,2,,,,0,119.487275078413,66.59858031145149,56.3071589721017
full,2,,,,1,173.28082811619169,128.52252025042355,98.6818458297477
full,4,,,,0,98.76825783366051,72.29612603434173,68.70688069974901
full,4,,,,1,171.197236240155,133.76259963212826,105.35737395651512
full,4,,,,2,17.630077173029548,19.03878960194959,22.890739236393365
full,4,,,,3,189.66257441923813,95.13625043776057,62.97357873847258
full,8,,,,0,14.586070215175113,16.155379388448267,20.061268403171226
full,8,,,,1,188.46165565086955,125.9258425912907,86.75910561102502
full,8,,,,2,177.19513032620588,89.25796784766672,61.413641329795944
full,8,,,,3,104.29681782902759,92.56935358687218,85.27153786450826
full,8,,,,4,181.43382456801234,147.21526437214675,116.13065586891985
full,8,,,,5,145.29861196792098,120.98099938309693,104.4185379395434
full,8,,,,6,237.02549262780772,77.25437508612288,44.95948739148408
full,8,,,,7,91.71703111858706,58.31640033641748,57.51640033641708
full,16,,,,0,29.914671985815545,31.864140070922545,37.323581560283706
full,16,,,,1,187.20776372168956,131.05657008773733,92.91057947357704
full,16,,,,2,115.66565656565666,55.633754208754695,54.069444444444116
full,16,,,,3,114.71583967868804,100.60070287005271,91.14551083591331
full,16,,,,4,186.53995037220835,102.50918114143921,65.74671215880919
full,16,,,,5,181.24698256593683,151.04434510505317,121.25972284309165
full,16,,,,6,90.08000774893432,81.1798721425802,76.7680162727625
full,16,,,,7,237.58043940467763,77.09950389794389,44.522324592487585
full,16,,,,8,155.01041240128694,129.68207078093005,111.85171102661586
full,16,,,,9,6.132525485670726,7.185420273128244,9.678784381612104
full,16,,,,10,69.8420875797966,59.10897076940351,59.38716541605994
full,16,,,,11,252.77566539923941,251.90114068441076,243.19011406844118
full,16,,,,12,189.29506186006853,119.43451365187772,79.65726322525589
full,16,,,,13,171.02925313635828,79.27271661390495,58.190819556806304
full,16,,,,14,140.83643452064499,116.53316793667682,100.3160848248568
full,16,,,,15,185.2341365668208,142.06627960745996,105.57462878281818
full,32,,,,0,185.04816601577613,143.60226663603763,107.56933915307327
full,32,,,,1,164.56488464951204,81.85337178349477,59.1837843833184
full,32,,,,2,3.825240263025364,4.622407688415393,6.22559433485101
full,32,,,,3,78.61135219579918,71.90071168199971,69.28519354278772
full,32,,,,4,189.04804646251293,87.88965153115011,58.71304118268233
full,32,,,,5,119.33856996035837,107.56658346791954,98.53751284686534
full,32,,,,6,175.06238752249564,119.78924215156977,92.09778044391119
full,32,,,,7,191.5015950302221,129.91739422431303,88.6567327065141
full,32,,,,8,252.77566539923941,251.90114068441076,243.19011406844118
full,32,,,,9,234.2007504690431,64.63836772983143,49.87804878048779
full,32,,,,10,160.0075270975512,126.86210357286203,105.46316740264952
full,32,,,,11,143.5771528123444,61.80139372822323,55.28695868591355
full,32,,,,12,181.1904959363089,153.4881406535091,123.93473212804349
full,32,,,,13,63.57862171965023,56.919778109664335,57.583315553659084
full,32,,,,14,116.11253293187816,52.82762514113769,51.79469326307854
full,32,,,,15,37.5444136016654,38.9621790423319,43.604788341429504
full,32,,,,16,187.37409843861454,119.20480304351346,78.70753744947274
full,32,,,,17,234.1129740518965,88.2227544910177,52.38243512974044
full,32,,,,18,93.03964351567294,84.19330055316537,79.45190534726491
full,32,,,,19,171.09081951059298,102.25406470684848,68.5432747577596
full,32,,,,20,111.19123055162662,96.44370579915133,87.094342291372
full,32,,,,21,247.13713268032058,76.94835262689243,30.292520035618928
full,32,,,,22,18.393473486036953,20.50392218387222,26.375902102290645
full,32,,,,23,224.28928373126038,115.15324819544699,71.60188784008885
full,32,,,,24,183.66173570019726,65.08037475345185,55.292899408284015
full,32,,,,25,144.0587097665423,113.48929410139525,94.39066169360407
full,32,,,,26,191.67489270386244,107.13975321888405,66.71646995708124
full,32,,,,27,186.9837572300131,136.9219554710393,98.12075112906989
full,32,,,,28,97.33539058367118,56.10015870216844,56.68929642038398
full,32,,,,29,155.7416633715566,133.75141689732442,117.28061157242666
full,32,,,,30,182.23858615611138,148.40814923907897,117.68070692194436
full,32,,,,31,137.03632633357464,120.89826212889217,108.22326816316681
full,64,,,,0,36.82728410513127,38.57697121401755,43.43116395494364
full,64,,,,1,153.18801552644348,118.42746239689473,97.20329936923822
full,64,,,,2,232.3413173652695,88.497005988024,56.849443969204415
full,64,,,,3,121.21784322217414,96.71719359029882,82.38458207016023
full,64,,,,4,152.66826666666665,59.333333333333464,53.01440000000009
full,64,,,,5,184.86534433904143,144.94049525686785,109.51151903412467
full,64,,,,6,81.90917005223427,74.71300058038308,71.83749274521185
full,64,,,,7,190.67189063020987,126.86178726242225,83.76675558519507
full,64,,,,8,8.670173267326817,10.40717821782141,14.88861386138612
