algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,519,0,1.0537330059188854,1.0118193796220283,1.014677377735102
lightweight,2,0.0025,519,1,0.9782624677928624,0.9713520706011111,1.003468790715297
lightweight,2,0.0025,519,2,1.0172855566239598,0.9872432229669501,1.0077452585693096
lightweight,2,0.0025,519,3,0.9801910581759576,0.9769794642879629,1.0014778968911278
lightweight,2,0.0025,519,4,1.055258385155085,1.046967022118527,1.0040618030025932
random,2,0.0025,519,0,1.0757712623599531,1.0739007675781593,1.0007594586551365
random,2,0.0025,519,1,1.0070053167840376,0.9951565161256176,1.0060179635725395
random,2,0.0025,519,2,0.9826967984863095,0.9772635935360369,1.0024357202244183
random,2,0.0025,519,3,1.0053659019088905,0.9915443553828932,1.0071593741516929
random,2,0.0025,519,4,1.026057501709669,0.9932557000824092,1.0116294235575345
lightweight,2,0.005,1038,0,1.0076860478591967,1.0041623494264595,1.0017039923293203
lightweight,2,0.005,1038,1,1.0036802178438133,1.001866121911566,1.0008379207813054
lightweight,2,0.005,1038,2,1.0153448680976618,1.0014842046393864,1.0086436342925518
lightweight,2,0.005,1038,3,1.048229237090032,1.0209276364542959,1.0097889540230696
lightweight,2,0.005,1038,4,1.0335828927003667,1.0312445591053985,1.0011946217905514
random,2,0.005,1038,0,0.9461721493875301,0.9424357114289255,1.0019314706212694
random,2,0.005,1038,1,1.0012606818676721,0.9992159634185627,1.0009692403665456
random,2,0.005,1038,2,0.9531537442131659,0.9500717298200713,1.0011999905598763
random,2,0.005,1038,3,0.9524837283955677,0.9225758646692158,1.0148410994625254
random,2,0.005,1038,4,1.0432180774899775,1.0014384918980395,1.0129596843062274
lightweight,2,0.01,2075,0,1.0122667252817141,1.0107322809992683,1.0005706362067224
lightweight,2,0.01,2075,1,0.9907239560526744,0.9751074203349291,1.0068935829631416
lightweight,2,0.01,2075,2,0.9779549394905518,0.971833908848573,1.0033748247868857
lightweight,2,0.01,2075,3,1.015647248947753,1.014392331310836,1.0006130121820602
lightweight,2,0.01,2075,4,1.0122370693018758,1.0115392455803947,1.0002849835942027
random,2,0.01,2075,0,0.9566183841099289,0.9552842577741626,1.0007849177175905
random,2,0.01,2075,1,0.995110643689623,0.9918326237362475,1.001910805751819
random,2,0.01,2075,2,0.9715273269818717,0.9680914254027849,1.001156534619699
random,2,0.01,2075,3,0.9849972793058183,0.9782437785031945,1.0032632521306368
random,2,0.01,2075,4,1.0111689432577289,0.999609968415832,1.009470316707844
lightweight,2,0.05,10375,0,1.0054692969008088,1.0052669039136468,1.0000380589754028
lightweight,2,0.05,10375,1,0.9888779465751627,0.9874215099840334,1.0005468305233958
lightweight,2,0.05,10375,2,0.9994264629520222,0.9989907257402744,1.000149344083195
lightweight,2,0.05,10375,3,0.9876012728809814,0.9873312756180471,1.0001052101230432
lightweight,2,0.05,10375,4,0.9934121024788654,0.992961013944249,1.0002483726996418
random,2,0.05,10375,0,0.9989006754012237,0.998781127517911,1.0000614768174194
random,2,0.05,10375,1,1.0194375756086,1.0180454610561713,1.000844983760271
random,2,0.05,10375,2,0.9552502179079946,0.9542882864590607,1.0005267136903535
random,2,0.05,10375,3,1.0192203872614225,1.0178757820336102,1.0004088846290138
random,2,0.05,10375,4,0.985633439343355,0.9849628545392821,1.000429672322228
lightweight,2,0.1,20750,0,0.9991064218123235,0.9987894369095537,1.000222525993963
lightweight,2,0.1,20750,1,0.996967417954191,0.9963487944919655,1.000167371862325
lightweight,2,0.1,20750,2,1.0011936544228455,1.0006203149460349,1.0000978082670076
lightweight,2,0.1,20750,3,0.9884385785587256,0.9883843852057471,1.00003864945793
lightweight,2,0.1,20750,4,0.9978168967171144,0.9975519468486482,1.0001331653450678
random,2,0.1,20750,0,0.9940553968817961,0.9940140684126552,1.0000308705590757
random,2,0.1,20750,1,0.9778531348963355,0.9775105253289951,1.0001690587495744
random,2,0.1,20750,2,0.9915981484141693,0.9910967112069193,1.0002962386296483
random,2,0.1,20750,3,1.0125153395450697,1.0124559847350347,1.0000381826574123
random,2,0.1,20750,4,0.9893561273099672,0.9893378065161109,0.9999914764782202
lightweight,2,0.25,51876,0,0.9950596883322167,0.9950206408076201,1.000063911875791
lightweight,2,0.25,51876,1,0.9948736765523118,0.994740742495986,1.0000099040085235
lightweight,2,0.25,51876,2,0.9972674777896013,0.9969850901686973,1.0000106385756544
lightweight,2,0.25,51876,3,1.0008327769234608,1.000725676333048,1.0000271514655168
lightweight,2,0.25,51876,4,1.0027621750742006,1.0022748324305168,1.0003494793068437
random,2,0.25,51876,0,0.99646156975117,0.9963689995163076,1.0000233388207829
