algo,k,frac,m,seed,center_idx,R,G,B
full,2,,,,0,65.6937001484886,73.92081314055035,50.329360788101326
full,2,,,,1,166.0299960742309,164.32433522322142,156.9595539045376
full,4,,,,0,184.77639880674013,190.1226937748815,195.54180568981576
full,4,,,,1,75.36784946609349,87.53614558775931,54.601658923867134
full,4,,,,2,139.4171375493454,130.2492901112601,108.62988825108698
full,4,,,,3,40.04076001708348,47.28751233118978,35.956745397301496
full,8,,,,0,47.995537916397005,64.0123861286213,44.661786734126586
full,8,,,,1,194.70884789681227,201.14671102770626,206.48512238894142
full,8,,,,2,121.82341453474065,107.95966817521843,77.59821011607063
full,8,,,,3,154.19132655142255,139.84173730023414,111.92989125557804
full,8,,,,4,73.95853723718892,88.90632762767649,49.5556378229428
full,8,,,,5,32.32603448947026,26.59331815173853,24.775234536183575
full,8,,,,6,94.0978804984556,110.66220044733197,124.32418787943342
full,8,,,,7,162.96158870579532,167.24598354456467,172.83511333165427
full,16,,,,0,47.309047612492556,40.49174799377819,37.43756968437272
full,16,,,,1,163.895214035522,147.4903753758408,119.64061870369808
full,16,,,,2,79.59336775033677,100.82808939119111,51.326135993674875
full,16,,,,3,183.8399522904989,189.25456847933276,195.7209730382428
full,16,,,,4,63.868465121943785,75.16572785677316,87.68763511250495
full,16,,,,5,125.2027266948688,89.65521776297048,73.31703307542233
full,16,,,,6,61.10159094564803,85.6290011259451,42.23284396157194
full,16,,,,7,113.49809368191734,120.28874883286655,77.74789915966376
full,16,,,,8,127.84502781301842,141.03288767444127,150.22530171432297
full,16,,,,9,40.23939959085315,65.87957310811078,42.72557654230822
full,16,,,,10,25.389529924846315,20.463798902461377,19.733146655080205
full,16,,,,11,93.50433344359905,108.38954680780682,120.89358253390662
full,16,,,,12,86.9561226363136,60.9881076229524,48.830426534483856
full,16,,,,13,145.51561948589102,127.79334001496291,97.0430682796685
full,16,,,,14,201.41587643678082,208.2307758620685,212.6852155172432
full,16,,,,15,164.27820905023745,167.7823380665237,173.08056444625285
full,32,,,,0,20.324386115977916,15.309361916921631,14.653968348228958
full,32,,,,1,185.2108186228976,190.74503974398695,197.1927118819047
