algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,2621,0,0.993424033052449,0.9924634057370272,1.0004805206640377
lightweight,2,0.0025,2621,1,1.001333739544598,1.0007755408254333,1.000318861687772
lightweight,2,0.0025,2621,2,1.0060048514495283,1.0031944365950685,1.001086136678224
lightweight,2,0.0025,2621,3,1.0283077111614547,1.0259096072458018,1.0012324384225981
lightweight,2,0.0025,2621,4,1.036357064922626,1.031746582694887,1.0022753095762804
random,2,0.0025,2621,0,0.9776386026544438,0.9758817967044962,1.0009486190716472
random,2,0.0025,2621,1,1.0070972695188294,1.0029254732379123,1.0021695756444042
random,2,0.0025,2621,2,0.980044276027048,0.9773359487216083,1.0013689236036312
random,2,0.0025,2621,3,0.9903243334698232,0.9839639976196967,1.0032537929445802
random,2,0.0025,2621,4,1.0271307309420876,1.027011176131659,1.0000503375991163
lightweight,2,0.005,5243,0,1.0220467090065117,1.020691579155599,1.0006592474360683
lightweight,2,0.005,5243,1,1.015801535693611,1.0146523206224751,1.000622303078186
lightweight,2,0.005,5243,2,1.0114510050059426,1.0100028056434274,1.000679423976298
lightweight,2,0.005,5243,3,1.0250245135622982,1.0239193868928238,1.0005781731482986
lightweight,2,0.005,5243,4,1.0032375834905027,1.000894091766761,1.0012627080550611
random,2,0.005,5243,0,0.9961909643812725,0.9949456648640316,1.000850495695317
random,2,0.005,5243,1,0.9985881091316783,0.9966518801236348,1.0011642360225348
random,2,0.005,5243,2,1.0020703135381948,1.0013256698669004,1.000364172736041
random,2,0.005,5243,3,0.9984059456473494,0.9970360880722632,1.0007314763363744
random,2,0.005,5243,4,1.02348848082399,1.0223984716705852,1.000460607654952
lightweight,2,0.01,10486,0,1.0130921865303708,1.0121915959448569,1.0003825076572803
lightweight,2,0.01,10486,1,1.0134469700929054,1.0128991312052067,1.0002218029749472
lightweight,2,0.01,10486,2,1.0103514641709024,1.0093776603889117,1.0004540306879897
lightweight,2,0.01,10486,3,1.029406688724963,1.0275616692547471,1.0009339184858863
lightweight,2,0.01,10486,4,1.0077130492558137,1.0063717157166403,1.00081806780452
random,2,0.01,10486,0,1.0063697278723922,1.0056137310292335,1.000488407764046
