algo,k,frac,m,seed,center_idx,longitude,latitude
full,2,,,,0,-73.98373419650427,40.72606913953563
full,2,,,,1,-73.93688791147065,40.78119443742382
full,4,,,,0,-73.97062195123502,40.76898448160367
full,4,,,,1,-73.99449073288612,40.72857205340597
full,4,,,,2,-73.95612482899662,40.69168374366505
full,4,,,,3,-73.92004125016628,40.797541757357116
full,8,,,,0,-73.98316811580767,40.756987740188684
full,8,,,,1,-73.9331050304439,40.68781867375474
full,8,,,,2,-73.90826572613366,40.75580627180626
full,8,,,,3,-73.9961201180334,40.727580151687214
full,8,,,,4,-73.98114207926523,40.67937289377309
full,8,,,,5,-73.91526269298099,40.83805722755774
full,8,,,,6,-73.9538352996932,40.722086714579866
full,8,,,,7,-73.95544574764209,40.7889798250514
full,16,,,,0,-73.98153333227451,40.77167433936443
full,16,,,,1,-73.9225951047177,40.760433381625575
full,16,,,,2,-73.98761863459752,40.72488302709879
full,16,,,,3,-73.95333230941392,40.801167612262205
full,16,,,,4,-73.90062653356233,40.84844350510164
full,16,,,,5,-73.95155409371569,40.674093954750894
full,16,,,,6,-73.97565745213579,40.67897047905285
full,16,,,,7,-73.95758377043926,40.76790171831507
full,16,,,,8,-74.00728684865221,40.71783410310338
full,16,,,,9,-73.88529237859301,40.75002058270922
full,16,,,,10,-73.99465287424394,40.68297343414403
full,16,,,,11,-73.93014331862611,40.8264597003834
full,16,,,,12,-73.95415802807247,40.71873528893188
full,16,,,,13,-73.92062014773131,40.69647449583121
full,16,,,,14,-73.97947744148789,40.74832149546142
full,16,,,,15,-73.99792776752288,40.74634355162221
full,32,,,,0,-73.99364434737998,40.75761133193265
full,32,,,,1,-73.96052356422597,40.71490435800859
full,32,,,,2,-73.9135300092722,40.76216667462287
full,32,,,,3,-73.98201618385158,40.66529836276451
full,32,,,,4,-73.95994020668302,40.80454948156563
full,32,,,,5,-73.99276151422765,40.72133173726416
full,32,,,,6,-73.89628760414519,40.85894024879302
full,32,,,,7,-73.92839867977396,40.694446168637505
full,32,,,,8,-73.95939261349105,40.67073638112895
full,32,,,,9,-73.96842211377681,40.759822171332836
full,32,,,,10,-74.00380934382449,40.73005129079182
full,32,,,,11,-73.94269443383241,40.79809486324866
full,32,,,,12,-73.99136970092968,40.69116828152051
full,32,,,,13,-73.91170007916905,40.82372926227804
full,32,,,,14,-73.95446811401132,40.77534838695398
full,32,,,,15,-73.88172509300387,40.75046665282649
full,32,,,,16,-74.00227159495213,40.74476461810186
full,32,,,,17,-73.98187788332507,40.72599594251681
full,32,,,,18,-73.9751418804305,40.78524047742358
full,32,,,,19,-73.93257273430119,40.75601935967405
full,32,,,,20,-73.97888857584617,40.74532543253458
full,32,,,,21,-73.97380971845035,40.68668005749694
full,32,,,,22,-73.94149293129816,40.821575118128074
full,32,,,,23,-73.9087461918529,40.69969014515946
full,32,,,,24,-74.00957916831995,40.65877062508972
full,32,,,,25,-74.01006849613175,40.712365257577716
full,32,,,,26,-73.95391118217358,40.73386752751056
full,32,,,,27,-73.94530968235588,40.71195231870371
full,32,,,,28,-73.9907096341511,40.74032406442877
full,32,,,,29,-73.93049269223258,40.8494742890577
full,32,,,,30,-73.9830537336911,40.76609849018774
full,32,,,,31,-73.94342052799537,40.67602199244477
full,64,,,,0,-73.95444940295012,40.78320670552967
full,64,,,,1,-73.98206674297228,40.741542851741876
full,64,,,,2,-73.95801133688128,40.67463342523183
full,64,,,,3,-73.9388878325146,40.79463211774755
full,64,,,,4,-73.91970201079857,40.74817338463935
full,64,,,,5,-73.95595649195793,40.73464007357662
full,64,,,,6,-74.01059077418778,40.7121780418342
full,64,,,,7,-73.91210376174388,40.84453063028145
full,64,,,,8,-73.97977917502355,40.76296901267996
full,64,,,,9,-73.98893351357594,40.699914242022075
full,64,,,,10,-74.00556734972332,40.74264148678714
full,64,,,,11,-73.98950762270722,40.76609365947919
full,64,,,,12,-73.92955693274456,40.69946120489524
full,64,,,,13,-74.00916107365907,40.64788398819449
full,64,,,,14,-73.97449730499596,40.674731511720765
full,64,,,,15,-73.86544107116383,40.74792723869533
full,64,,,,16,-73.97244059580703,40.78820172868779
full,64,,,,17,-73.89172241391945,40.83471631386318
full,64,,,,18,-73.96802963849355,40.76019299075415
full,64,,,,19,-73.94214560500235,40.83067860421325
full,64,,,,20,-73.92987393825717,40.764870783018466
full,64,,,,21,-73.99743003678162,40.717650075806375
full,64,,,,22,-73.99064122403627,40.75106349772686
full,64,,,,23,-73.89556541449923,40.86866632727595
full,64,,,,24,-73.90532984066668,40.706778134944095
full,64,,,,25,-74.00181876026643,40.68052603609251
full,64,,,,26,-73.97339294288118,40.749118396038355
full,64,,,,27,-73.93146008648897,40.67714921302083
full,64,,,,28,-73.96328763833768,40.71382036150899
full,64,,,,29,-73.90147585053478,40.748463313837
full,64,,,,30,-73.98016523565573,40.72164968688295
full,64,,,,31,-73.96501109841452,40.80083098861317
full,64,,,,32,-73.99710959491723,40.729681733394834
full,64,,,,33,-73.9471177704345,40.69238435883107
full,64,,,,34,-73.95438294024295,40.81530454450209
full,64,,,,35,-73.97681903372852,40.6533481760235
full,64,,,,36,-73.91403511421386,40.69115511164
full,64,,,,37,-73.99957060680913,40.7446080346917
full,64,,,,38,-73.91361448879651,40.77000841728302
full,64,,,,39,-73.97731399809508,40.69012519529083
full,64,,,,40,-73.99825063890378,40.75757658123378
full,64,,,,41,-73.9879841453348,40.72845597381055
full,64,,,,42,-73.94835937735839,40.77792768498262
full,64,,,,43,-73.98111183144923,40.777336685090745
full,64,,,,44,-73.94190098816479,40.74847388830078
full,64,,,,45,-73.98141673310796,40.752288725912706
full,64,,,,46,-73.9910689472413,40.68949931108254
full,64,,,,47,-73.93058808077186,40.85376318986554
full,64,,,,48,-73.94554339997372,40.67192545115323
full,64,,,,49,-73.94379040405053,40.716039845698305
full,64,,,,50,-73.9590169191887,40.76918633262177
full,64,,,,51,-73.96528172353455,40.687814337509074
full,64,,,,52,-74.00592655509541,40.72930873679157
full,64,,,,53,-73.88478921947053,40.75224916851694
full,64,,,,54,-73.95856925410334,40.65511034064264
full,64,,,,55,-73.98888462351978,40.717108050948525
full,64,,,,56,-73.95267479238231,40.800602527581745
full,64,,,,57,-73.97992267899838,40.73181917911672
full,64,,,,58,-73.95482592190463,40.71765499098098
full,64,,,,59,-73.98590940446773,40.66957701267767
full,64,,,,60,-73.99162776293404,40.73849210372904
full,64,,,,61,-73.94172750886695,40.80955396542996
full,64,,,,62,-73.90743424492169,40.82139684190706
full,64,,,,63,-73.92285068532529,40.81821670054278
lightweight,2,0.0025,2498.0,0.0,0,-73.93638039798142,40.77347834822192
lightweight,2,0.0025,2498.0,0.0,1,-73.98527881664076,40.726373765402926
lightweight,2,0.0025,2498.0,1.0,0,-73.98512066283178,40.725793731767745
lightweight,2,0.0025,2498.0,1.0,1,-73.9340853154184,40.777751327127916
lightweight,2,0.0025,2498.0,2.0,0,-73.98407156368593,40.726124399844366
lightweight,2,0.0025,2498.0,2.0,1,-73.93723996990907,40.778181122360216
lightweight,2,0.0025,2498.0,3.0,0,-73.93818629062629,40.78457783659784
lightweight,2,0.0025,2498.0,3.0,1,-73.98274076731009,40.72365292701348
lightweight,2,0.0025,2498.0,4.0,0,-73.98458449298118,40.72493201306331
lightweight,2,0.0025,2498.0,4.0,1,-73.93826778311063,40.77976381767855
random,2,0.0025,2498.0,0.0,0,-73.93604653714212,40.77781839738934
random,2,0.0025,2498.0,0.0,1,-73.98451317274592,40.727217033927055
random,2,0.0025,2498.0,1.0,0,-73.93694237803977,40.779390163062935
random,2,0.0025,2498.0,1.0,1,-73.98451620963193,40.72583077280683
random,2,0.0025,2498.0,2.0,0,-73.98435751864027,40.725347601315335
random,2,0.0025,2498.0,2.0,1,-73.93826636667745,40.779582399553426
random,2,0.0025,2498.0,3.0,0,-73.9847600978281,40.72508962021984
random,2,0.0025,2498.0,3.0,1,-73.93741798951642,40.774848592753855
random,2,0.0025,2498.0,4.0,0,-73.98460417879981,40.726701690300736
random,2,0.0025,2498.0,4.0,1,-73.93698194575349,40.77858667094946
lightweight,2,0.005,4997.0,0.0,0,-73.98457129071438,40.72670764734421
lightweight,2,0.005,4997.0,0.0,1,-73.93610040285867,40.77677618436207
lightweight,2,0.005,4997.0,1.0,0,-73.98442226437723,40.72598602730315
lightweight,2,0.005,4997.0,1.0,1,-73.93544333179871,40.777410292247325
lightweight,2,0.005,4997.0,2.0,0,-73.98420766247597,40.72602244542745
lightweight,2,0.005,4997.0,2.0,1,-73.93732572647139,40.77921078598443
lightweight,2,0.005,4997.0,3.0,0,-73.98297650254335,40.72483151218659
