algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,2498,0,0.9909463285370612,0.9840523435792924,1.0034537295995578
lightweight,2,0.0025,2498,1,0.99462093040581,0.987978977734087,1.0031289988968204
lightweight,2,0.0025,2498,2,0.997556045512853,0.9969081604328254,1.0003087673564346
lightweight,2,0.0025,2498,3,1.0129298871290346,1.0062929853397984,1.0031215198170484
lightweight,2,0.0025,2498,4,1.013345765192103,1.0112798809313446,1.0010023842010074
random,2,0.0025,2498,0,0.9737543074975678,0.9717104794828565,1.001037491196642
random,2,0.0025,2498,1,1.0106440317801588,1.010052473373399,1.000260002339923
random,2,0.0025,2498,2,0.9949447669404373,0.9937019522351129,1.0006183350060789
random,2,0.0025,2498,3,0.9725100027758529,0.9665209004975366,1.0025788084808005
random,2,0.0025,2498,4,0.9897874051789214,0.9888622645723801,1.0004466152201732
lightweight,2,0.005,4997,0,0.9920233928991504,0.9896527857018182,1.001018521167935
lightweight,2,0.005,4997,1,1.0139487454457172,1.0112011162945542,1.0011243499754037
lightweight,2,0.005,4997,2,0.992343447021864,0.992006249547514,1.0001351015227151
lightweight,2,0.005,4997,3,1.0061276048281163,1.0039496249325746,1.0012342917889625
lightweight,2,0.005,4997,4,0.9954596964662688,0.9947156117125604,1.0003783518888103
random,2,0.005,4997,0,0.9759921821392995,0.97579287104848,1.0001062114326418
random,2,0.005,4997,1,0.9995466978217173,0.99755668040888,1.0012485446730641
random,2,0.005,4997,2,0.988705189525148,0.9874163737654815,1.0006095015174994
random,2,0.005,4997,3,1.0136365884070109,1.0097426465719053,1.0016833917462102
random,2,0.005,4997,4,0.9891560879203456,0.9863480484262317,1.0010748305102284
lightweight,2,0.01,9993,0,1.002714442073107,1.0006606896504933,1.000894695946472
lightweight,2,0.01,9993,1,1.0131820621438372,1.0116072235092262,1.0006796594458618
lightweight,2,0.01,9993,2,0.9911147164726258,0.9901556216849702,1.0005319003322937
lightweight,2,0.01,9993,3,1.0081973089384977,1.0070500632872619,1.0007821382702866
lightweight,2,0.01,9993,4,0.9881543377961022,0.9876862642334685,1.0002287718902683
random,2,0.01,9993,0,0.9880925603275752,0.9877734253937158,1.0001508900142595
random,2,0.01,9993,1,1.009663868269953,1.0072152321964554,1.0013046822596972
random,2,0.01,9993,2,1.002616371661367,1.0018955578063344,1.0003984846850864
random,2,0.01,9993,3,1.0036900314317025,1.0011674540433086,1.0011639193496864
random,2,0.01,9993,4,0.9870818566476369,0.9865822963077154,1.0002349607638372
lightweight,2,0.05,49966,0,1.0015609967523993,1.001495006199729,1.0000364012138783
lightweight,2,0.05,49966,1,1.0064708105040865,1.0063317264685556,1.00008465124876
lightweight,2,0.05,49966,2,0.9954188910337711,0.9953475526672626,1.0000451264614938
lightweight,2,0.05,49966,3,0.999239212509411,0.9991540719543718,1.0000541697810534
lightweight,2,0.05,49966,4,0.9976451953658201,0.9974945335321403,1.000078284251777
random,2,0.05,49966,0,0.9982714858668591,0.9982169242511002,1.0000273177531835
random,2,0.05,49966,1,1.0038304884666354,1.003602471214559,1.0001078566110813
random,2,0.05,49966,2,0.9982186568672081,0.998064716983872,1.0000662938590543
random,2,0.05,49966,3,0.9971043912128785,0.9969776924066616,1.0000905370103064
