algo,k,frac,m,seed,center_idx,x,y
full,2,,,,0,-0.35673634414174593,-0.42398831519107283
full,2,,,,1,12.478352700163711,18.666209094202465
full,4,,,,0,-7.184301127789042,-2.4111524364953247
full,4,,,,1,17.977136601456102,17.980550422345416
full,4,,,,2,7.081389919070494,-2.6141480511881934
full,4,,,,3,0.035238746855950076,15.265859156750587
full,8,,,,0,-1.5024771822480583,-9.255187538416259
full,8,,,,1,14.812719634934293,17.906902216762106
full,8,,,,2,-9.220972798459329,-1.4237172261170628
full,8,,,,3,-0.005658650487800898,22.979153022863514
full,8,,,,4,6.7327521571335005,6.485621716971231
full,8,,,,5,21.173225815293623,18.103841840988594
full,8,,,,6,-4.0140644286564955,8.417585695902481
full,8,,,,7,8.209948514541935,-4.499218317868914
full,16,,,,0,18.232561866780685,22.49267836762239
full,16,,,,1,-7.838100848268083,5.949957479727203
full,16,,,,2,7.867428185452672,5.884337974512455
full,16,,,,3,1.904567338448952,22.988197014634466
full,16,,,,4,2.3508312696748646,-9.471678937426127
full,16,,,,5,17.79456799882237,13.50714020410177
full,16,,,,6,2.8274655926338506,9.309229841117881
full,16,,,,7,-3.529303938984392,-9.118160990722851
full,16,,,,8,13.51518935266159,18.19355170413005
full,16,,,,9,9.936061059568654,-0.2770934959525144
full,16,,,,10,-8.198492387413378,-5.487888099092922
full,16,,,,11,-9.96664636737398,0.30920510662607903
full,16,,,,12,22.488344233106133,17.778133805635832
full,16,,,,13,-3.032543809312563,9.30184100635675
full,16,,,,14,-1.9253574342927662,23.011039706127388
full,16,,,,15,7.535486671740723,-6.2801296485501705
full,32,,,,0,2.6859362247189758,22.53107947799705
full,32,,,,1,-3.140076225733396,-6.939883994727568
full,32,,,,2,13.850639361953835,15.409989694054394
full,32,,,,3,-8.161360086131396,5.87794084603913
full,32,,,,4,7.544060244329874,-2.133744479919308
full,32,,,,5,2.4759998661024105,8.975344779027333
full,32,,,,6,22.946073881439517,18.580318921511246
full,32,,,,7,-10.642948887708432,-3.078656662323178
full,32,,,,8,4.594980969430737,-10.368699437768242
full,32,,,,9,16.52001995324623,22.491864344612683
full,32,,,,10,-7.707678653683597,-6.479142405336308
full,32,,,,11,9.639502832806489,5.910511741975421
full,32,,,,12,21.34277972936888,14.551676555881194
full,32,,,,13,0.4581248985202393,25.605580807837423
full,32,,,,14,-7.563531039541917,-0.21618042570179696
full,32,,,,15,0.13750671345322285,-10.241915107180418
full,32,,,,16,8.021669199361218,-6.967552906793589
full,32,,,,17,-0.9930667448643309,10.509198596628583
full,32,,,,18,3.7111711922340147,-6.773023130154979
full,32,,,,19,6.168130469358086,8.944372847632167
full,32,,,,20,-3.5112994684163334,6.629059813291903
full,32,,,,21,-0.4699732239648764,20.330773082929937
full,32,,,,22,-10.873167890471684,2.3336675102047435
full,32,,,,23,10.977157993327722,-3.238320386676019
full,32,,,,24,10.454393486455153,1.4744398796919427
full,32,,,,25,20.49734735067627,22.051833900607654
full,32,,,,26,6.367938625378472,4.228875776890201
full,32,,,,27,-4.634915692133531,-10.341100403435902
full,32,,,,28,17.443285819751125,13.33719161070701
full,32,,,,29,-2.6798630594301605,23.470344850370402
full,32,,,,30,13.38554074729764,19.74694839911694
full,32,,,,31,-5.552469479516881,9.792808195950409
full,64,,,,0,8.613078932064855,-4.195604135176914
full,64,,,,1,2.1305752445549127,7.585927422724785
full,64,,,,2,17.994820883873604,14.895025002009204
full,64,,,,3,-6.7125672635776885,-1.0466494102779738
full,64,,,,4,2.978176681143376,23.39176658826029
full,64,,,,5,-7.4820892237214744,-8.187188468871268
full,64,,,,6,-2.425349066518949,6.509427269835232
full,64,,,,7,21.22848280183562,18.175141650126598
full,64,,,,8,3.2987503793917208,-10.611542466290565
full,64,,,,9,9.23242478376942,2.5298510952199917
full,64,,,,10,14.823943792373768,21.931496508499805
full,64,,,,11,-1.6902684216762438,25.261833703061065
full,64,,,,12,-11.957640203293153,0.8878964319250331
full,64,,,,13,12.76411462703448,15.693108514095028
full,64,,,,14,-8.691719575095185,8.329475918590846
full,64,,,,15,7.630474278399825,8.874256042528152
full,64,,,,16,20.995150956150617,22.27286309573841
full,64,,,,17,0.48528409352605717,-8.184257049958912
full,64,,,,18,-2.632644614513568,-7.705650824018093
full,64,,,,19,-0.31506392265589866,9.091707526956293
full,64,,,,20,-11.558333472419971,-3.3077893522515005
full,64,,,,21,4.919175483296343,6.5639246662445085
full,64,,,,22,14.750925546333772,17.780349822478904
full,64,,,,23,18.383396969287475,12.246557427101344
full,64,,,,24,23.41694378147931,19.947382384843287
full,64,,,,25,-5.716815477025151,7.303716327467688
full,64,,,,26,1.6916785876579823,20.717289551322096
full,64,,,,27,11.575098351249473,-0.5606472871597799
full,64,,,,28,-8.951080726155862,2.0286114020422223
full,64,,,,29,-5.164509777307393,-10.050447858906644
full,64,,,,30,6.4801055346715195,-6.61483971978412
full,64,,,,31,17.74629505215011,23.76286946945654
full,64,,,,32,-8.116069970355582,-4.355837115494474
full,64,,,,33,6.3107832305897755,2.2986408528838265
full,64,,,,34,11.330362402851641,-4.037489199082092
full,64,,,,35,12.491234740794873,19.569672753118525
full,64,,,,36,-5.701281480050846,10.77573955975109
full,64,,,,37,15.22498592332878,13.609544415114206
full,64,,,,38,-2.275395715927914,-11.06073290270054
full,64,,,,39,-1.074325021454456,20.444981728085708
full,64,,,,40,4.766182505301978,10.0750624354101
full,64,,,,41,5.882543280073098,-3.1942820377795638
full,64,,,,42,-3.2742545074448746,9.409804573455347
full,64,,,,43,1.0565145344538553,25.519968238837063
full,64,,,,44,10.203591491492233,6.177491033820128
full,64,,,,45,-10.099478174370212,-6.737889633520414
full,64,,,,46,-5.236834407931435,-5.852714919332374
full,64,,,,47,-11.090473159435913,4.783397153659308
full,64,,,,48,8.709557445934239,-0.8477445286566176
full,64,,,,49,9.318940133877025,-7.612327352461769
full,64,,,,50,-2.977976137083493,22.63842917000664
full,64,,,,51,-9.513736888634426,-1.2187354483320743
full,64,,,,52,-5.898822976951965,3.6989890128260776
full,64,,,,53,7.536063712291542,5.4810372696417495
full,64,,,,54,23.41778270238376,16.18158474700129
full,64,,,,55,1.9953940554850034,11.28512573948873
full,64,,,,56,3.573025059290131,-7.199467030661042
full,64,,,,57,21.13688170213522,14.026814655260132
full,64,,,,58,18.129515284553097,21.175124665862924
full,64,,,,59,-1.5327399697439033,12.001220663791141
full,64,,,,60,0.5739158822111254,-11.571179609457573
full,64,,,,61,11.963388425220213,2.8982857408007408
full,64,,,,62,-8.233913103074059,5.253847630052174
full,64,,,,63,6.247786967260043,-9.860953812085128
lightweight,2,0.0025,2500.0,0.0,0,-0.3617501762399016,-0.2815889412316359
lightweight,2,0.0025,2500.0,0.0,1,11.987739202532055,18.91649080748013
lightweight,2,0.0025,2500.0,1.0,0,12.735801109183445,18.959167870479078
lightweight,2,0.0025,2500.0,1.0,1,-0.2823022120029979,-0.16361079143807622
lightweight,2,0.0025,2500.0,2.0,0,11.784942256036388,18.310101905703657
lightweight,2,0.0025,2500.0,2.0,1,-0.5827775470875274,-0.6008660513347417
lightweight,2,0.0025,2500.0,3.0,0,12.19488676741756,18.91691026111492
lightweight,2,0.0025,2500.0,3.0,1,-0.38277625096748924,-0.4054190352427689
lightweight,2,0.0025,2500.0,4.0,0,-0.2900416623592683,-0.21756462210698935
lightweight,2,0.0025,2500.0,4.0,1,12.610984034435486,19.07881480656117
random,2,0.0025,2500.0,0.0,0,12.45540928720311,19.03282012186564
random,2,0.0025,2500.0,0.0,1,0.03292407790323004,-0.5492704413559784
random,2,0.0025,2500.0,1.0,0,12.219156180858072,18.955471809188722
random,2,0.0025,2500.0,1.0,1,-0.46153646289594974,-0.17148408712485175
random,2,0.0025,2500.0,2.0,0,-0.5828466609406329,-0.5335620752010657
random,2,0.0025,2500.0,2.0,1,12.19889688093572,18.34569335546221
random,2,0.0025,2500.0,3.0,0,-0.4014507885481686,-0.4372665589293252
random,2,0.0025,2500.0,3.0,1,12.506778451897318,18.916839120044976
random,2,0.0025,2500.0,4.0,0,-0.030103702886024486,-0.5318142088490463
random,2,0.0025,2500.0,4.0,1,12.897433975274648,18.708124721229453
lightweight,2,0.005,5000.0,0.0,0,12.383484240324844,18.80788366374466
lightweight,2,0.005,5000.0,0.0,1,-0.35756066528925956,-0.44136590691315636
lightweight,2,0.005,5000.0,1.0,0,-0.6359908420031886,-0.4253454487534043
lightweight,2,0.005,5000.0,1.0,1,12.678994097331913,18.57897114297934
lightweight,2,0.005,5000.0,2.0,0,-0.6087979776154615,-0.629791713796874
lightweight,2,0.005,5000.0,2.0,1,12.38131997683363,18.495769392598667
lightweight,2,0.005,5000.0,3.0,0,12.270851949650753,18.800039470245146
lightweight,2,0.005,5000.0,3.0,1,-0.322116425140595,-0.43566502598879087
lightweight,2,0.005,5000.0,4.0,0,12.470997098975374,18.830362024922557
lightweight,2,0.005,5000.0,4.0,1,-0.4917643494205466,-0.4343044936416929
random,2,0.005,5000.0,0.0,0,-0.10722312611944318,-0.4407315759348016
random,2,0.005,5000.0,0.0,1,12.205972794975471,18.647571745009287
random,2,0.005,5000.0,1.0,0,-0.38967036025832247,-0.2676164182344172
random,2,0.005,5000.0,1.0,1,12.634189763649594,18.712089602667398
random,2,0.005,5000.0,2.0,0,-0.32670892624787573,-0.47661779692512596
random,2,0.005,5000.0,2.0,1,12.356320084713435,18.730096169772764
random,2,0.005,5000.0,3.0,0,12.862640122899357,18.723913715690585
random,2,0.005,5000.0,3.0,1,-0.30472193481616827,-0.452823786865971
random,2,0.005,5000.0,4.0,0,-0.18987519722294888,-0.4848276097194608
random,2,0.005,5000.0,4.0,1,12.825861174312216,18.83353689483335
lightweight,2,0.01,10000.0,0.0,0,-0.34370960551165286,-0.28063453989777987
lightweight,2,0.01,10000.0,0.0,1,12.398330286008886,18.694239831996533
lightweight,2,0.01,10000.0,1.0,0,-0.5150976993442198,-0.38233133129953956
lightweight,2,0.01,10000.0,1.0,1,12.655445229602606,18.54734185321842
lightweight,2,0.01,10000.0,2.0,0,-0.4419678225729706,-0.5582049680156
lightweight,2,0.01,10000.0,2.0,1,12.314959265561939,18.63597837898545
lightweight,2,0.01,10000.0,3.0,0,-0.38615187490465264,-0.36052356264080476
lightweight,2,0.01,10000.0,3.0,1,12.457366990410899,18.56085038569453
lightweight,2,0.01,10000.0,4.0,0,-0.4344993880241912,-0.563087058946663
lightweight,2,0.01,10000.0,4.0,1,12.318509866796646,18.627017830397996
random,2,0.01,10000.0,0.0,0,12.296529581430816,18.599137759843224
random,2,0.01,10000.0,0.0,1,-0.18173704867770457,-0.4580706492692599
random,2,0.01,10000.0,1.0,0,-0.22474220642163534,-0.3344208281678567
random,2,0.01,10000.0,1.0,1,12.511805222320973,18.801206942576506
random,2,0.01,10000.0,2.0,0,12.365742009362982,18.649910517738757
random,2,0.01,10000.0,2.0,1,-0.34492920539862926,-0.3961253393531674
random,2,0.01,10000.0,3.0,0,-0.35043165744751636,-0.3006217933274309
random,2,0.01,10000.0,3.0,1,12.570598602712419,18.78307918531728
random,2,0.01,10000.0,4.0,0,-0.2869824695052863,-0.5425670371356981
random,2,0.01,10000.0,4.0,1,12.541667671787039,18.59569897094437
lightweight,2,0.05,50000.0,0.0,0,12.432777161770687,18.633307691865888
lightweight,2,0.05,50000.0,0.0,1,-0.41146931947499965,-0.4072059049906249
lightweight,2,0.05,50000.0,1.0,0,12.494237659217623,18.682268476279976
lightweight,2,0.05,50000.0,1.0,1,-0.3925316764183018,-0.44947980063380566
lightweight,2,0.05,50000.0,2.0,0,-0.3675654662671226,-0.3866617952363143
lightweight,2,0.05,50000.0,2.0,1,12.441848522060594,18.69963666163147
lightweight,2,0.05,50000.0,3.0,0,-0.32906132207016014,-0.39055992421159846
lightweight,2,0.05,50000.0,3.0,1,12.41528410685595,18.61740181822842
lightweight,2,0.05,50000.0,4.0,0,-0.3871961714790304,-0.4201798699505055
lightweight,2,0.05,50000.0,4.0,1,12.35996958235788,18.702717055628803
random,2,0.05,50000.0,0.0,0,-0.3321904021809292,-0.44673308993366856
random,2,0.05,50000.0,0.0,1,12.446013291872063,18.62751829720688
random,2,0.05,50000.0,1.0,0,12.437267459429284,18.691568415080003
random,2,0.05,50000.0,1.0,1,-0.3944737921519712,-0.43114501925572135
random,2,0.05,50000.0,2.0,0,-0.33836194516964646,-0.43211529079576216
random,2,0.05,50000.0,2.0,1,12.469810692886686,18.6462374242095
random,2,0.05,50000.0,3.0,0,-0.37602967982008906,-0.4204746420539687
random,2,0.05,50000.0,3.0,1,12.481818168432643,18.660158125973652
random,2,0.05,50000.0,4.0,0,12.498056232048409,18.54522278186635
random,2,0.05,50000.0,4.0,1,-0.3736280093007647,-0.4937874961795492
lightweight,2,0.1,100000.0,0.0,0,-0.3634609251591616,-0.4364944575169023
lightweight,2,0.1,100000.0,0.0,1,12.441765834420835,18.634356163939337
lightweight,2,0.1,100000.0,1.0,0,12.451899725400295,18.72200858114353
lightweight,2,0.1,100000.0,1.0,1,-0.3614312918956566,-0.4420077304776653
lightweight,2,0.1,100000.0,2.0,0,-0.3884027350657444,-0.44961938964734216
lightweight,2,0.1,100000.0,2.0,1,12.447359009792411,18.651857125768334
lightweight,2,0.1,100000.0,3.0,0,-0.3114950610030167,-0.37625243632643457
lightweight,2,0.1,100000.0,3.0,1,12.409924084098131,18.677497984230165
lightweight,2,0.1,100000.0,4.0,0,12.398953507276168,18.70920296267303
lightweight,2,0.1,100000.0,4.0,1,-0.3778194207430783,-0.38460992397357785
random,2,0.1,100000.0,0.0,0,-0.37022273055970967,-0.43738033688137534
