algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,2500,0,1.0141661143648264,1.0116203821091638,1.0012881222902195
lightweight,2,0.0025,2500,1,0.9977809815988894,0.9963432073565665,1.0006584760003328
lightweight,2,0.0025,2500,2,1.0215089291784103,1.0176935293700597,1.0017214844148559
lightweight,2,0.0025,2500,3,1.0170706453278826,1.0160325771245702,1.000534254432522
lightweight,2,0.0025,2500,4,0.9879016026155698,0.9867225367008585,1.0006037729495671
random,2,0.0025,2500,0,1.0052254123746052,1.0027485668380791,1.0013428206945045
random,2,0.0025,2500,1,0.9987026569154147,0.9967762263980304,1.0009587548005558
random,2,0.0025,2500,2,0.9963615784400033,0.995292988745424,1.000481936275571
random,2,0.0025,2500,3,1.0120334787091274,1.0116064113569494,1.0002169603708215
random,2,0.0025,2500,4,0.9936368827405436,0.9908508646895909,1.0014024922711409
lightweight,2,0.005,5000,0,1.0085764704310278,1.0083719497645334,1.00010625177776
lightweight,2,0.005,5000,1,0.9890272903318031,0.9877240013810594,1.0006332204558956
lightweight,2,0.005,5000,2,1.0053590377223967,1.0043555117717209,1.0004060373265873
lightweight,2,0.005,5000,3,1.0135514655025446,1.0130835363449602,1.0002372994417827
lightweight,2,0.005,5000,4,0.9960819169943419,0.9956544116508577,1.0002166762171236
random,2,0.005,5000,0,1.0028033532789824,1.0013794068643873,1.0007107746922648
random,2,0.005,5000,1,0.9911858844634419,0.9907453160306577,1.0002278538515643
random,2,0.005,5000,2,1.0023484163348353,1.0021654325171423,1.0000857282671876
random,2,0.005,5000,3,1.0016803408387875,1.0004292884297257,1.0006031490084217
random,2,0.005,5000,4,0.9968104326693314,0.9955534042782735,1.0006927122382716
lightweight,2,0.01,10000,0,1.0100034204345434,1.0097040901853451,1.0001466276597768
lightweight,2,0.01,10000,1,0.99411659980931,0.9934458435660805,1.0003123262472238
lightweight,2,0.01,10000,2,1.0074642851732303,1.007100764724103,1.000137467830889
lightweight,2,0.01,10000,3,1.0070777049275286,1.0069734879122911,1.000045257049177
lightweight,2,0.01,10000,4,1.0031656916281768,1.0029226437276586,1.000131075265738
random,2,0.01,10000,0,1.001022038183052,1.000332842070827,1.0003464184873625
random,2,0.01,10000,1,0.9933673244558334,0.9930997418536759,1.0001836504510604
random,2,0.01,10000,2,0.9974375921148033,0.9973309645504396,1.000048100364477
random,2,0.01,10000,3,0.9996944687476167,0.9994559970442651,1.0001407779116436
random,2,0.01,10000,4,0.994033585271486,0.9937658892566845,1.0001299833362673
lightweight,2,0.05,50000,0,1.002943000026801,1.0029192287758457,1.0000136940254971
lightweight,2,0.05,50000,1,0.9975740379173363,0.9975482890341596,1.000009855888193
lightweight,2,0.05,50000,2,1.0014029564272833,1.0013674597304332,1.000020822751236
lightweight,2,0.05,50000,3,1.0042364231306877,1.0041678982162705,1.000029495207369
lightweight,2,0.05,50000,4,1.0022422266411422,1.0021178470309182,1.000056036036523
random,2,0.05,50000,0,1.0000263140845622,0.9999986012608216,1.000006032188587
random,2,0.05,50000,1,0.9992750363862387,0.9992459547568285,1.000012168568884
random,2,0.05,50000,2,0.9980782701549362,0.9980730224191362,1.0000019747277542
random,2,0.05,50000,3,0.9986933513168327,0.9986888585851622,0.999999945394821
random,2,0.05,50000,4,0.9968637294453255,0.9968065914206689,1.000029206804536
lightweight,2,0.1,100000,0,1.0015383051820808,1.0015404646801565,0.9999965456559249
lightweight,2,0.1,100000,1,0.9979722917456512,0.997943999497967,1.0000167852973982
lightweight,2,0.1,100000,2,1.001306258479667,1.0012873775975528,0.9999985110365994
lightweight,2,0.1,100000,3,1.0057950581214847,1.0057080679313342,1.0000500903151395
lightweight,2,0.1,100000,4,1.002882277554856,1.0027964273160668,1.0000439206208314
random,2,0.1,100000,0,1.0001183521317458,1.0001143452364893,0.9999985012126935
random,2,0.1,100000,1,1.0012757683355396,1.001256694338149,1.0000079966757267
random,2,0.1,100000,2,0.999560603832211,0.9995555969135346,0.9999983537894773
random,2,0.1,100000,3,0.9973155042755609,0.9973107959896564,0.9999975869524027
random,2,0.1,100000,4,0.9991544337560714,0.999129653659867,1.0000188637584142
lightweight,2,0.25,250000,0,0.9985925533343403,0.9985906185343246,0.9999963967496783
lightweight,2,0.25,250000,1,0.9985767418938738,0.998580486824411,0.9999962832572055
lightweight,2,0.25,250000,2,1.0013431714297196,1.0013365410881823,0.9999973848682757
lightweight,2,0.25,250000,3,1.0033206753014707,1.0032928783935826,1.0000163971940328
lightweight,2,0.25,250000,4,1.0023142796559528,1.0023058377615934,1.0000023849033393
random,2,0.25,250000,0,1.0000813699248867,1.0000749497097643,0.9999991129858297
random,2,0.25,250000,1,1.0016309543978008,1.0016363310968415,0.9999974984328287
random,2,0.25,250000,2,0.9992600770233399,0.9992534968994476,1.0000012402990663
random,2,0.25,250000,3,1.000318393732809,1.0003056471474914,0.9999965567150745
random,2,0.25,250000,4,1.0009059285848767,1.0009021904206932,1.0000036122442584
lightweight,2,0.5,500000,0,0.9983800039685067,0.9983732093287362,1.000008128443745
lightweight,2,0.5,500000,1,0.9994378559466597,0.9994275896995127,1.0000093605707614
lightweight,2,0.5,500000,2,1.0001786534871997,1.0001744479082075,0.9999993394910409
lightweight,2,0.5,500000,3,1.0008270574637776,1.0007832181201972,1.00003084211161
lightweight,2,0.5,500000,4,1.0003382248235055,1.0003367803363996,0.9999964364225682
random,2,0.5,500000,0,1.0000695805724706,1.0000634458471118,1.0000050508993898
random,2,0.5,500000,1,1.0002252967735044,1.0002316283986326,0.9999956999482221
random,2,0.5,500000,2,0.9995114115210807,0.9995080592802434,1.000001037712584
random,2,0.5,500000,3,0.999383774270221,0.9993744558340802,1.0000043806792318
random,2,0.5,500000,4,0.9999773420502364,0.9999747798785749,1.0000030551912833
lightweight,4,0.0025,2500,0,0.9964263660112792,0.9813069331528809,1.0067618825816633
lightweight,4,0.0025,2500,1,0.9981059424787175,0.9828205408209599,1.0099544643954586
lightweight,4,0.0025,2500,2,1.0526348011714868,1.0488739514574574,1.0017821636341628
lightweight,4,0.0025,2500,3,0.999548817344089,0.9953951428937883,1.0015919721962514
lightweight,4,0.0025,2500,4,1.0074845772184922,1.002035438687421,1.0031487208643461
random,4,0.0025,2500,0,1.003186898125869,0.9973207986701431,1.0025291356230146
random,4,0.0025,2500,1,1.0176242447677877,1.008825473267609,1.0043684109198645
random,4,0.0025,2500,2,1.027018573015304,1.0247086228802642,1.0011939321753733
random,4,0.0025,2500,3,1.0577280727766896,1.0482050533421048,1.0056732930536916
random,4,0.0025,2500,4,0.9636236862756118,0.9593339055631736,1.0017695064893009
lightweight,4,0.005,5000,0,0.9945876491404289,0.9871584522891085,1.0040505888237774
lightweight,4,0.005,5000,1,0.9950817451782543,0.9936858733577735,1.000635865536503
lightweight,4,0.005,5000,2,1.0076245896667764,1.0037189439374088,1.0017925689962384
lightweight,4,0.005,5000,3,1.0059175501545243,1.0032284546068848,1.0012609262011651
lightweight,4,0.005,5000,4,1.0098645186041029,1.0075588730369953,1.0012662389995126
random,4,0.005,5000,0,0.9985719070591725,0.994079842024231,1.0017311338247703
random,4,0.005,5000,1,0.996038308968259,0.994422552138481,1.0007990750361662
random,4,0.005,5000,2,1.0088119935656505,1.0079074406338189,1.0005880003854082
random,4,0.005,5000,3,1.0234245830259232,1.0219116257540588,1.000615521469515
random,4,0.005,5000,4,0.9755437280983074,0.9724486222700003,1.001435481619092
lightweight,4,0.01,10000,0,1.010578443426813,1.0075894773068215,1.0014282686682148
lightweight,4,0.01,10000,1,1.0035547960300464,1.0007404243583864,1.0011559879872485
