algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,1530,0,0.9942395840888676,0.9929461398273872,1.0006920133288262
lightweight,2,0.0025,1530,1,1.0193906730617757,1.0138901102875173,1.0026793575502444
lightweight,2,0.0025,1530,2,0.9555169226417333,0.9546915962922553,1.0004028833115426
lightweight,2,0.0025,1530,3,1.0254012741749945,1.0215904350103082,1.0018307024141062
lightweight,2,0.0025,1530,4,0.9818809115015718,0.9788131909282262,1.0014440980922212
random,2,0.0025,1530,0,1.0024028703912056,0.9970349137316009,1.002690249103964
random,2,0.0025,1530,1,0.9951002986629746,0.9931926636844738,1.000929911298721
random,2,0.0025,1530,2,0.9819355237982228,0.971818069539415,1.0055887039002642
random,2,0.0025,1530,3,1.0023939260783756,0.9993543539220362,1.0015859805484144
random,2,0.0025,1530,4,1.0007246701809622,0.9942680283566558,1.0030508538578222
lightweight,2,0.005,3059,0,0.996807923596395,0.9937053560511261,1.0015950357642505
lightweight,2,0.005,3059,1,1.0054634382523644,1.0046050386451886,1.0003973208833583
lightweight,2,0.005,3059,2,0.9658040669147908,0.9647614758063068,1.0005235676919437
lightweight,2,0.005,3059,3,1.0175800204236558,1.0159666795748934,1.000844701778434
lightweight,2,0.005,3059,4,1.0001223144346325,0.9985801144966951,1.000820519407272
random,2,0.005,3059,0,0.9789446430541702,0.9764515785451614,1.0013200085897598
random,2,0.005,3059,1,0.9762019568410134,0.973353649178558,1.0015218614445232
random,2,0.005,3059,2,1.007135669011483,1.0067432417629,1.0001966225848655
random,2,0.005,3059,3,1.0102522749257357,1.0090110117685538,1.0006768682515623
random,2,0.005,3059,4,0.9994032547052857,0.9979649590213794,1.0006565020854026
lightweight,2,0.01,6118,0,0.9927375996716443,0.9912250753598674,1.0007740839272399
lightweight,2,0.01,6118,1,1.0098613954314264,1.0094124530057282,1.0002181027124941
lightweight,2,0.01,6118,2,0.9953543942303128,0.9948115836728384,1.000256586607514
lightweight,2,0.01,6118,3,1.0034670925321525,1.0032274143237434,1.000118167389532
lightweight,2,0.01,6118,4,0.980345456044135,0.9801028621501887,1.000123636199579
random,2,0.01,6118,0,1.004665983687717,1.0041899157031664,1.0002373953372874
random,2,0.01,6118,1,0.9631853656854379,0.9625709893261662,1.0003028260498952
random,2,0.01,6118,2,0.983864959026973,0.9834801188707816,1.0001952130926361
random,2,0.01,6118,3,1.0167446740023118,1.015797300239147,1.0004581682681417
random,2,0.01,6118,4,0.9914195592897397,0.9900887377812845,1.0006829685330882
lightweight,2,0.05,30590,0,0.9893308589336969,0.9891989895690193,1.0000691666348167
lightweight,2,0.05,30590,1,0.9923293004770342,0.9921126940646405,1.0000997891638443
lightweight,2,0.05,30590,2,1.005473128411547,1.005418212446586,1.0000336520802362
lightweight,2,0.05,30590,3,0.9929297361771215,0.9928305468158481,1.000049266328425
lightweight,2,0.05,30590,4,0.9919215968576808,0.9918682939273242,1.0000292123494954
random,2,0.05,30590,0,0.9978525838371124,0.9977948876492055,1.0000295553861067
random,2,0.05,30590,1,0.9836429159308644,0.9833749821631961,1.0001271761671864
random,2,0.05,30590,2,1.0170845440200287,1.0169158988588434,1.0000873781088966
random,2,0.05,30590,3,1.0055143788485164,1.005395220292212,1.00005664765191
random,2,0.05,30590,4,1.000867941770929,1.0008042656919265,1.0000286790715147
lightweight,2,0.1,61180,0,0.9944877324695945,0.9944242114251141,1.0000374206429992
lightweight,2,0.1,61180,1,0.999771546887084,0.9996611174252277,1.0000529728633394
lightweight,2,0.1,61180,2,1.0062095797994732,1.006171198638458,1.0000196089153903
lightweight,2,0.1,61180,3,0.9939787124496673,0.9939208248422075,1.0000308482351212
lightweight,2,0.1,61180,4,0.9911124826976485,0.9910690476268285,1.0000216838695457
random,2,0.1,61180,0,1.007378145047508,1.007323174332845,1.0000282588959426
random,2,0.1,61180,1,0.9985284165373521,0.9984903085429915,1.0000198118806982
random,2,0.1,61180,2,1.0108135243510994,1.0107521644617494,1.0000305836483272
random,2,0.1,61180,3,0.999875373394009,0.9998301163644783,1.000019388118588
