algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,208,0,1.0489527225961166,1.0273966002151236,1.010913351926016
lightweight,2,0.0025,208,1,1.0043804690975198,0.9980807945575768,1.0032298026596398
lightweight,2,0.0025,208,2,0.9732560179057868,0.9531815058372697,1.0109657319363003
lightweight,2,0.0025,208,3,1.0252459527012283,1.0158914665627463,1.0043535673287118
lightweight,2,0.0025,208,4,1.0291708959073096,1.0212026628202897,1.0044355526038093
random,2,0.0025,208,0,1.0339483557463438,1.0144664132630883,1.009517501542737
random,2,0.0025,208,1,1.0623499448828233,1.0452648434514682,1.0090606973037317
random,2,0.0025,208,2,0.9523070828359812,0.9334417571419629,1.009420006059526
random,2,0.0025,208,3,1.0264612606786323,1.0160863405762512,1.0051350884635273
random,2,0.0025,208,4,1.0380923311926846,1.029066118278292,1.0043486548368454
lightweight,2,0.005,417,0,1.0198294546303794,1.0161427503890337,1.001774232146085
lightweight,2,0.005,417,1,1.0031075137248813,0.9932488380300193,1.004708328688314
lightweight,2,0.005,417,2,0.9910816122783912,0.9853213146964996,1.0023233606472597
lightweight,2,0.005,417,3,0.9952756911556188,0.9893226740383219,1.0028832677456043
lightweight,2,0.005,417,4,1.0553761387502152,1.0507693240783267,1.0022793714728138
random,2,0.005,417,0,1.065634745637949,1.0411323425820833,1.0117198628120423
random,2,0.005,417,1,1.014022840894271,0.9968951577666156,1.0087188069461106
random,2,0.005,417,2,0.9765237643701983,0.9555402202657634,1.010778377747097
random,2,0.005,417,3,0.975151350788507,0.9545374034057402,1.009156389908668
random,2,0.005,417,4,1.0139872651728392,1.0109696384601619,1.0016447650759126
lightweight,2,0.01,834,0,1.0015839094087977,0.9937663659789432,1.004807144352383
lightweight,2,0.01,834,1,0.9917345545868989,0.9814655088343238,1.004909597696672
lightweight,2,0.01,834,2,0.9916674312323686,0.9866829279894711,1.0022594967169598
lightweight,2,0.01,834,3,0.984925718104244,0.9815615930829307,1.001668394349001
lightweight,2,0.01,834,4,1.0140102788588738,1.0128523271876835,1.0005661974696347
random,2,0.01,834,0,1.0298241340773011,1.0247724702068757,1.0025456404563886
random,2,0.01,834,1,1.0064624482790623,0.9984234408652407,1.0041697344944747
random,2,0.01,834,2,0.980550404978855,0.9711975226264462,1.0046073355037992
random,2,0.01,834,3,0.9870484027743724,0.9780379972684213,1.0042635965072357
random,2,0.01,834,4,1.0083117352355244,1.0049071765679294,1.001651510227298
lightweight,2,0.05,4169,0,1.0058732384853102,1.0052236295634702,1.0003157243764642
lightweight,2,0.05,4169,1,1.000423680464371,0.9986056840383084,1.0008871476225525
lightweight,2,0.05,4169,2,0.9989320995774821,0.9970915160623509,1.0009376333787232
lightweight,2,0.05,4169,3,1.0073192067478807,1.0067390189769887,1.0002821751152953
lightweight,2,0.05,4169,4,1.002847266142022,1.0024791626751817,1.0001809137602906
random,2,0.05,4169,0,0.9893690838991686,0.988716127163828,1.0003051337604552
random,2,0.05,4169,1,1.0104879710031656,1.0079429553911894,1.0012741153693376
random,2,0.05,4169,2,0.997915322044443,0.9963395115091233,1.0007398461202213
random,2,0.05,4169,3,0.9887070601246132,0.9875145589245585,1.0006163070036649
random,2,0.05,4169,4,1.0003686505676486,0.9997738762089325,1.0002874755593247
lightweight,2,0.1,8337,0,1.0050439696432387,1.0046661362720637,1.0001879052579972
lightweight,2,0.1,8337,1,0.9957765158060905,0.9955472822862743,1.0001141788872245
lightweight,2,0.1,8337,2,0.9903256033004136,0.9899466069784794,1.0001941738504554
lightweight,2,0.1,8337,3,1.0131071980125042,1.0122666460141236,1.0004178124454144
lightweight,2,0.1,8337,4,0.9961913086349166,0.9957121029821379,1.00022655438882
random,2,0.1,8337,0,0.9977614597763462,0.9975549929819542,1.0000972528597458
random,2,0.1,8337,1,1.0058619711901162,1.0051083535194698,1.0003751724550443
random,2,0.1,8337,2,0.9979371620856501,0.996981031366552,1.0004561230975912
random,2,0.1,8337,3,0.998610808352374,0.9983409724840758,1.0001314374056045
random,2,0.1,8337,4,0.9988599690417809,0.9987234572036583,1.0000692949380088
lightweight,2,0.25,20843,0,1.006435373620953,1.006213260846394,1.0001072777403057
lightweight,2,0.25,20843,1,0.9944869332397088,0.9943193089823019,1.0000833199286254
lightweight,2,0.25,20843,2,0.9981092070681632,0.9978978067816839,1.000104668672361
lightweight,2,0.25,20843,3,1.0048235334649054,1.004468898397742,1.0001887987932405
lightweight,2,0.25,20843,4,0.9971684931960697,0.9970143245028551,1.0000787460121034
random,2,0.25,20843,0,1.000008036813994,0.9996755063225315,1.0001821206687793
random,2,0.25,20843,1,1.0070555757836634,1.0067165525500152,1.000158480584984
random,2,0.25,20843,2,0.9977640157280253,0.9974211514771819,1.000179144515337
