algo,k,frac,m,seed,center_idx,Lon,Lat
full,2,,,,0,-73.9903434403128,40.723457070666676
full,2,,,,1,-73.96347937811518,40.76644962184384
full,4,,,,0,-73.97276376712328,40.766156132718386
full,4,,,,1,-73.96381042705785,40.69510868396459
full,4,,,,2,-73.88536748703024,40.76858881437429
full,4,,,,3,-73.99782845498926,40.73116556430414
full,8,,,,0,-73.95864117935685,40.774846672286245
full,8,,,,1,-74.00300712454238,40.71922223330152
full,8,,,,2,-73.97974106998643,40.759449241419944
full,8,,,,3,-73.98038047476197,40.68076532976827
full,8,,,,4,-73.87654012500498,40.7663426569529
full,8,,,,5,-73.99380862146747,40.739938475708655
full,8,,,,6,-73.94610767649478,40.71038208426328
full,8,,,,7,-73.94585122521785,40.813904707877654
full,16,,,,0,-73.9893839174619,40.7591990147478
full,16,,,,1,-73.87092374395627,40.77246881963422
full,16,,,,2,-73.95607655445862,40.77409038989126
full,16,,,,3,-73.96328582876987,40.678739526290016
full,16,,,,4,-74.00957028573977,40.715008221336824
full,16,,,,5,-73.97350268162765,40.7581051527521
full,16,,,,6,-73.95449112431255,40.71792293915243
full,16,,,,7,-73.99100453180272,40.68517964693319
full,16,,,,8,-73.87233462727585,40.72150291995878
full,16,,,,9,-73.9773310610408,40.78418284152345
full,16,,,,10,-73.99189104059782,40.72464076845862
full,16,,,,11,-73.92598330999259,40.693479710025535
full,16,,,,12,-73.98631329436061,40.74198493493889
full,16,,,,13,-73.92398471950133,40.757550106856634
full,16,,,,14,-74.00498718092457,40.73961224024196
full,16,,,,15,-73.94386503139718,40.81524723312402
full,32,,,,0,-74.00364272448559,40.733433131890806
full,32,,,,1,-73.95528748373606,40.77506294144981
full,32,,,,2,-73.94860018768769,40.743194231731735
full,32,,,,3,-73.87071771679473,40.77116701975851
full,32,,,,4,-73.98142388864868,40.762542427986084
full,32,,,,5,-73.98725176395753,40.71959493076283
full,32,,,,6,-73.98997815996302,40.7406400110957
full,32,,,,7,-73.96641905756039,40.68672763197137
full,32,,,,8,-73.93796708097929,40.83084485875706
full,32,,,,9,-74.0106085767385,40.70989623034035
full,32,,,,10,-73.90600414398064,40.68527144585602
full,32,,,,11,-73.91774882987752,40.761329137868316
full,32,,,,12,-73.98184517298797,40.7310390120259
full,32,,,,13,-73.95055084136159,40.67036233782916
full,32,,,,14,-73.98188487196616,40.778048136272545
full,32,,,,15,-74.00485687557276,40.72136802005906
full,32,,,,16,-73.98914267005428,40.75210139277053
full,32,,,,17,-73.97698871963604,40.750534842391744
full,32,,,,18,-73.99572013264076,40.76136078285873
full,32,,,,19,-74.00424647201946,40.67617956204379
full,32,,,,20,-73.94663870515997,40.804863912528276
full,32,,,,21,-74.00452308831939,40.74419175287207
full,32,,,,22,-73.95562990751326,40.717101499878765
full,32,,,,23,-73.98283593283583,40.67060295708955
full,32,,,,24,-73.87180048543689,40.728887640029875
full,32,,,,25,-73.99491408012639,40.725687193601736
full,32,,,,26,-74.0358046055349,40.73582030152829
full,32,,,,27,-73.96951124406593,40.76098286897925
full,32,,,,28,-73.98955176381338,40.694481116449616
full,32,,,,29,-73.93298026981451,40.70108133783024
full,32,,,,30,-73.88051868811881,40.83140804455446
full,32,,,,31,-73.97118553034521,40.793375334075726
full,64,,,,0,-73.96227887705362,40.67661552626828
full,64,,,,1,-73.99240092188258,40.75094973755017
full,64,,,,2,-73.91797404105328,40.76849174787477
full,64,,,,3,-73.98831678147722,40.71876523153463
full,64,,,,4,-73.97195167995544,40.76219438041851
full,64,,,,5,-73.86419400252525,40.76923227272727
full,64,,,,6,-73.94566501724881,40.71225570288917
full,64,,,,7,-73.94587916362752,40.8169074641381
full,64,,,,8,-74.01120060539351,40.71646914494421
full,64,,,,9,-73.97959738214207,40.762527873126224
full,64,,,,10,-73.9731010381994,40.79011531145982
full,64,,,,11,-73.9527614586934,40.770832063601794
full,64,,,,12,-73.9796777762582,40.68517843271335
full,64,,,,13,-73.97949893493242,40.73406341179629
full,64,,,,14,-73.9071703773585,40.70289559748428
full,64,,,,15,-73.99554234650967,40.66206135407906
full,64,,,,16,-74.0046184990671,40.748904353534655
full,64,,,,17,-73.95422695481336,40.66079316306483
full,64,,,,18,-74.00105558657896,40.732889986276085
full,64,,,,19,-73.95508001539251,40.741688096459725
full,64,,,,20,-73.97671273930098,40.745988747731396
full,64,,,,21,-73.99751921083802,40.7607267397098
full,64,,,,22,-74.03978254397835,40.722021335137576
full,64,,,,23,-73.96136688333904,40.80496241874786
full,64,,,,24,-73.87362137161085,40.83250398724083
full,64,,,,25,-73.95190474907376,40.78150977433479
full,64,,,,26,-73.86326854787572,40.72749866835764
full,64,,,,27,-73.98912683724076,40.69885063119928
full,64,,,,28,-73.9532353605648,40.72391661119516
full,64,,,,29,-73.96152134212568,40.71454730799069
full,64,,,,30,-73.99020590307649,40.733261304330014
full,64,,,,31,-73.98659631659056,40.770136754946726
full,64,,,,32,-73.9287352734013,40.702238683966634
full,64,,,,33,-73.99573339507806,40.68553307753374
full,64,,,,34,-73.98224591732149,40.72564576016399
full,64,,,,35,-73.98577205799708,40.743209018021055
full,64,,,,36,-73.96212230087367,40.77319137810089
full,64,,,,37,-73.93871780119623,40.799784448874966
full,64,,,,38,-73.94094301625526,40.74887606863335
full,64,,,,39,-73.96343008890969,40.76142748846848
full,64,,,,40,-74.00578614733999,40.739937652368596
full,64,,,,41,-73.89068904731043,40.74417913156189
full,64,,,,42,-73.88723330736268,40.770976899104014
full,64,,,,43,-73.96489926470588,40.69136694373402
full,64,,,,44,-73.99503263856164,40.724405825207526
full,64,,,,45,-73.98126548359728,40.669480472285066
full,64,,,,46,-74.00160989881009,40.71979722196196
