algo,k,frac,m,seed,r1,r2,r3
lightweight,2,0.0025,1856,0,1.000816254314191,0.9988728881497084,1.0006550048842326
lightweight,2,0.0025,1856,1,0.9997582050454644,0.9940289803386728,1.0022678103795375
lightweight,2,0.0025,1856,2,0.9871875455932299,0.9870379080402503,1.0000931915880078
lightweight,2,0.0025,1856,3,1.012129343682317,1.0106325020313875,1.0007760833688062
lightweight,2,0.0025,1856,4,0.983370841014466,0.9799786953525802,1.0021129474498294
random,2,0.0025,1856,0,0.9810408396088973,0.9797284879143013,1.0006211050626528
random,2,0.0025,1856,1,1.0055522585280572,0.9991235523308198,1.0028413129449847
random,2,0.0025,1856,2,0.9921041768455371,0.9906446683994158,1.0007530486131684
random,2,0.0025,1856,3,0.9723614813279033,0.971316882880225,1.000492154814588
random,2,0.0025,1856,4,1.0853951789778666,1.0840430163709764,1.0006655147483206
lightweight,2,0.005,3711,0,0.9969487721197128,0.9946814513596828,1.0007751112194523
lightweight,2,0.005,3711,1,0.9958932391089499,0.994446327726604,1.0007487175301113
lightweight,2,0.005,3711,2,0.9901291497911114,0.9898974089940797,1.0001061781608098
lightweight,2,0.005,3711,3,0.9983053957641259,0.9969065769103014,1.000790763579681
lightweight,2,0.005,3711,4,0.9929287608788202,0.9911996104017834,1.0011933622544942
random,2,0.005,3711,0,1.0115663341861656,1.0106986809655674,1.0004651460297715
random,2,0.005,3711,1,1.0319386984722103,1.0295287172520462,1.0018770486835487
random,2,0.005,3711,2,0.98094148398962,0.9803716712520649,1.0002868270201397
random,2,0.005,3711,3,1.0184007180093673,1.0173913835756068,1.0006889499691372
random,2,0.005,3711,4,1.0250746166651608,1.0222868949728443,1.0014988631434185
lightweight,2,0.01,7423,0,0.9947681271456403,0.9907362583129182,1.0022127032520125
lightweight,2,0.01,7423,1,0.9959709561935209,0.9941902475447265,1.0012517931092102
lightweight,2,0.01,7423,2,0.998327265385432,0.997999786252887,1.0002594871694375
lightweight,2,0.01,7423,3,0.9963200376772956,0.9951735934176965,1.0007145140600402
lightweight,2,0.01,7423,4,0.9962770077269956,0.9954033192329573,1.0005977582149237
random,2,0.01,7423,0,0.9908932079842956,0.9907485447947975,1.0000878090408627
random,2,0.01,7423,1,1.0134100601083602,1.0133670032806814,1.000032531101162
random,2,0.01,7423,2,0.9671865166077604,0.9664648489139736,1.0003768058270521
random,2,0.01,7423,3,1.0211294756208513,1.0179080419062057,1.0015077070539637
random,2,0.01,7423,4,1.0178959431888415,1.016018951602548,1.001006331232274
lightweight,2,0.05,37113,0,1.0013212263508482,1.0009902686082366,1.0001693941176932
lightweight,2,0.05,37113,1,1.0087623524210085,1.0077930995412,1.000528802510244
lightweight,2,0.05,37113,2,1.001950115415121,1.0018023767754902,1.0001146187009347
lightweight,2,0.05,37113,3,0.9980399060936503,0.9979118003727163,1.0000765222836423
lightweight,2,0.05,37113,4,0.9995131785977864,0.9994725932594304,1.0000164150809188
random,2,0.05,37113,0,0.9972564419856097,0.9972509309689589,1.0000051067206919
random,2,0.05,37113,1,0.9975742848588328,0.9973926540017795,1.000120014109489
random,2,0.05,37113,2,0.9944000501799065,0.9942969146760514,1.0000584082173858
random,2,0.05,37113,3,0.9994001514438111,0.9992047086805659,1.0001134445309234
